0,1,2,3,4,5,6,7,labels
0,8.2509,302.67,22.096,2.8387,2.1212,300.19,53.557,CD4_Tcells
0,2.7956,252.9,19.601,0,1.0119,160.76,40.901,CD4_Tcells
2.821,14.221,816.65,414.76,28.504,5.883,17.982,23.755,Monocytes
0,8.9094,407.74,39.267,67.858,0,8.9906,4.6738,Unknown
0,11.562,396.78,184.67,7.6148,5.3192,12.928,21.222,Monocytes
0,7.0045,658.12,265.95,1.4333,4.4322,18.883,44.073,Monocytes
0,15.882,378.55,12.099,0.94809,181.45,181.7,7.5292,CD8_Tcells
0,9.559,269.8,14.36,2.4035,5.3252,152.79,44.714,CD4_Tcells
0.52879,7.1471,298.62,20.167,4.8409,72.447,156.28,6.5896,CD8_Tcells
123.29,119.69,375.27,27.581,9.1728,3.5994,3.5147,3.0602,B_cells
0,11.611,620.08,280.23,5.8778,5.419,23.452,24.44,Monocytes
2.9578,15.905,483.92,296.03,1.6402,5.4747,13.689,22.3,Monocytes
0,10.065,385.3,27.779,92.334,1.8038,9.9705,10.678,Unknown
0.68829,22.858,716.14,161.46,67.818,5.7118,23.585,25.208,Unknown
0,15.126,476.66,203.66,2.5644,2.8059,7.2621,11.7,Monocytes
0,19.674,545.92,466.47,2.8012,3.3151,15.965,22.937,Monocytes
0.33587,3.2304,270.12,15.678,2.3252,3.9226,219.67,59.434,CD4_Tcells
141.94,425.8,460.27,31.029,7.7689,0,14.022,4.1331,B_cells
3.5911,22.67,667.76,399.45,3.7488,0.98953,18.017,29.682,Monocytes
0,12.667,251.72,23.911,2.4951,4.2787,32.213,40.814,Unknown
2.9088,9.4087,508.29,278.39,5.727,5.6239,16.479,21.124,Monocytes
0,17.202,409.8,14.209,8.2739,0,13.097,7.7412,Unknown
1.3744,23.497,397.07,55.584,0.31947,5.7828,27.093,25.83,Unknown
0,9.7581,296.21,19.552,2.7936,47.898,103.83,12.397,CD8_Tcells
30.843,14.006,351.74,38.386,3.81,6.8361,170.25,79.62,CD4_Tcells
0,14.703,366.11,28.492,2.005,93.925,145.97,12.205,CD8_Tcells
0,11.355,296.98,31.718,1.7726,3.2211,244.05,92.441,CD4_Tcells
6.4298,19.492,452.79,18.085,2.7055,5.1234,292.73,132.54,CD4_Tcells
162.72,229.08,537.23,28.835,4.1057,4.7079,10.871,16.603,B_cells
0,2.1779,183.81,17.345,0,12.224,9.3013,4.533,Unknown
0.48176,9.2241,657.61,320.49,10.099,3.9663,19.062,25.101,Monocytes
0,3.0886,283.72,19.834,0,13.162,213.88,63.775,CD4_Tcells
0.66196,9.3932,515.02,299.7,0,1.1761,16.696,34.076,Monocytes
0,6.7983,295.6,21.059,0,0.2955,8.76,10.481,Unknown
1.5949,19.525,794.7,399.53,2.7119,3.5846,16.919,34.772,Monocytes
0,11.005,574.28,26.469,21.627,16.595,9.5559,11.261,Unknown
0,3.4531,238.66,29.756,0.76219,72.629,131.4,6.8421,CD8_Tcells
0,10.342,347.27,35.843,2.9633,59.749,154.64,10.169,CD8_Tcells
96.728,188.03,396.65,24.887,0,0.52525,11.79,7.2633,B_cells
0.18339,9.0727,249.03,73.543,0.8608,0.089584,13.637,8.9894,Unknown
0,11.119,354.84,29.349,0,1.8608,385.07,10.955,Unknown
0,7.3033,287.45,21.735,4.8993,81.571,145.31,14.064,CD8_Tcells
0,8.7849,289.92,97.711,5.1634,1.2556,7.2687,19.143,Unknown
0,1.3976,334.93,17.101,1.3236,161.31,209.46,3.6521,CD8_Tcells
1.4138,9.8498,446.26,8.0004,3.5269,5.8372,539.84,4.3594,Unknown
0,6.6633,483.94,208.79,1.6153,1.6296,13.335,9.7751,Monocytes
0,7.4743,664.63,57.489,37.227,0,12.43,18.841,Unknown
36.837,109.62,696.91,9.8675,0,0,0,0.42649,B_cells
0,16.78,574.94,328.33,8.3499,4.9848,12.713,27.503,Monocytes
0.19625,26.343,823.6,435.19,0.41035,0.28189,11.22,31.463,Monocytes
0,7.7588,346.67,37.654,0.98282,87.739,154.54,4.1159,CD8_Tcells
0,21.237,1100.2,83.227,179.85,5.705,14.583,33.782,Unknown
0,3.3409,354.83,18.055,117.46,0,5.6375,8.0542,Unknown
0,17.427,787.07,85.105,205.21,3.9081,18.184,26.644,Unknown
0,5.4014,369.12,21.069,65.125,5.7174,4.6998,8.0118,Unknown
